text,positive,anticipation,negative,trust,anger,disgust,joy,surprise,fear,sadness
serious offer. you don’t know living until you’ve owned a slice of reality. link in my bio.,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
the cold dead look in elon’s eyes is the most distressing thing i’ve ever seen,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
"man, that’s part of the art itself. it’s not laziness. think about what he’s saying, using the same girl. think about the ridiculousness of the whole piece. gifted.",2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
no it doesn't. and nevermind the minions. economical success and artistic success are two different things. the latter is determined by time.,4.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"o which you so much objected so that if anything befell me in the person of dr. jekyll, i could enter on that of edward hyde without pecuniary loss. and thus fortified, as i supposed, on every side, i",0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
good advice,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
scoop this one and make it b bro!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
for sale?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
that is some epic stuff...nice!,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mine formars coupons.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
the technoking rides again!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
holy shit.... that's terrifying.,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
do you accept a kidney as payment??,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"target hit
straight to mars!!!",0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
it’s been a week and this still looks like ass,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ped an interest in computing while using the commodore vic-.[] he learned computer programming using a manual and, by age , sold the code of a basic-based video game he created called blastar to pc and office technology",3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
"ped an interest in computing while using the commodore vic-.[] he learned computer programming using a manual and, by age , sold the code of a basic-based video game he created called blastar to pc and office technology",3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
xbadfaaaadca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
. billion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
don't want fungus on your elon.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
but where are the moon cats tho???,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nft that elon! ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
opensea.io/assets/xcacfd…,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hell yes!,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
non-fungible everything,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transfer ??,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
$ open edition  epp my laive boss ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fuck you,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lol the trophy,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
good thing the đoge is there. you almost showed off little elon... ,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
it would be funny ifbuys it,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amazing work,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"this looks all sorts of bad, who pays millions to this guys 'art'? laundering?",0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
you know what i'm glad climate change is going to kill our useless species. hurry up the bitcoin mining. earth wants us dead.,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0
just. no.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"nice one 

fixed it for you though $amc",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
yes we should all die. true and bitcoin has risen from hell as a devil in disguise that’s going to butcher us at night when we asleep. goodbye world,1.0,1.0,4.0,1.0,3.0,3.0,1.0,0.0,4.0,3.0
or,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
this is how that story ends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
awesome ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
another $ million on the way,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
this shit sucks man,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
outstanding !!!,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
only have $ but i'll pay gas for that ,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
lassie come home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is there atoken on the ethereum blockchainthat points to this image?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i can’t handle the epic-ness of this ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
that's m doge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
how are you so fucking fast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
